timestamp,price,symbol,side,quantity,reason
2025-08-22,174.31725581908614,QQQ,buy,86.0,entry
2025-08-22,101.21260146220547,AAPL,buy,148.0,entry
2025-08-25,173.74244955169428,QQQ,sell,86.0,exit
2025-08-26,103.38357088180071,AAPL,sell,148.0,exit
2025-08-26,177.2845495126411,QQQ,buy,84.0,entry
2025-08-28,175.93884443399108,QQQ,sell,84.0,exit
2025-08-29,158.5920612387774,SPY,buy,94.0,entry
2025-09-01,158.5569386465501,SPY,sell,94.0,exit
2025-09-01,180.90662461712685,QQQ,buy,82.0,entry
2025-09-01,103.9877699496562,AAPL,buy,144.0,entry
2025-09-02,180.47866052386607,QQQ,sell,82.0,exit
2025-09-02,103.86644862667372,AAPL,sell,144.0,exit
2025-09-02,159.04378650411854,SPY,buy,94.0,entry
2025-09-03,156.47354700937285,SPY,sell,94.0,exit
2025-09-03,181.75838896975108,QQQ,buy,82.0,entry
2025-09-05,180.55169056002896,QQQ,sell,82.0,exit
2025-09-09,104.31073578706425,AAPL,buy,143.0,entry
2025-09-10,103.50171390379322,AAPL,sell,143.0,exit
2025-09-10,159.06965437023482,SPY,buy,94.0,entry
2025-09-12,160.44477984744097,SPY,sell,94.0,exit
2025-09-16,105.38873439616528,AAPL,buy,142.0,entry
2025-09-17,166.6822770582753,SPY,buy,89.0,entry
2025-09-22,172.07895040132658,SPY,sell,89.0,exit
2025-09-24,106.06539373688466,AAPL,sell,142.0,exit
2025-10-23,182.01949762640362,QQQ,buy,82.0,entry
2025-10-24,181.35707084692842,QQQ,sell,82.0,exit
2025-10-28,184.10646593264744,QQQ,buy,81.0,entry
2025-10-30,185.03324863699157,QQQ,sell,81.0,exit
2025-11-12,105.76715411641194,MSFT,buy,141.0,entry
2025-11-13,105.0658529035925,MSFT,sell,141.0,exit
2025-11-14,106.5293645523092,MSFT,buy,140.0,entry
2025-11-18,106.10684465106849,MSFT,sell,140.0,exit
2025-11-24,162.42056987823517,NVDA,buy,92.0,entry
2025-11-24,189.1236263109062,QQQ,buy,79.0,entry
2025-11-25,160.20643995339535,NVDA,sell,92.0,exit
2025-11-26,187.91805370021194,QQQ,sell,79.0,exit
2025-11-27,163.05860280806831,NVDA,buy,91.0,entry
2025-11-28,191.87190738071445,QQQ,buy,78.0,entry
2025-12-01,164.52768019821124,NVDA,sell,91.0,exit
2025-12-03,165.8284121476499,NVDA,buy,90.0,entry
2025-12-04,197.4036654584997,QQQ,sell,78.0,exit
2025-12-04,158.76478545480316,NVDA,sell,90.0,exit
2025-12-09,106.76437867352055,MSFT,buy,140.0,entry
2025-12-11,107.30297791857046,MSFT,sell,140.0,exit
2025-12-16,197.77607936917488,QQQ,buy,75.0,entry
2025-12-18,197.96440674627817,QQQ,sell,75.0,exit
2025-12-19,108.73550978092418,MSFT,buy,137.0,entry
2025-12-19,198.95373016756383,QQQ,buy,75.0,entry
2025-12-23,202.12829608259526,QQQ,sell,75.0,exit
2025-12-24,112.5746067152673,MSFT,sell,137.0,exit
2025-12-25,113.15016754204909,MSFT,buy,132.0,entry
2025-12-26,112.26465151217444,MSFT,sell,132.0,exit
2025-12-31,113.8835954425711,MSFT,buy,131.0,entry
2025-12-31,208.5818749529926,QQQ,buy,71.0,entry
2026-01-02,114.1565248210929,MSFT,sell,131.0,exit
2026-01-02,208.9520628093021,QQQ,sell,71.0,exit
2026-01-05,115.97069998194341,MSFT,buy,129.0,entry
2026-01-05,216.98884443980597,QQQ,buy,69.0,entry
2026-01-06,112.77216816696826,MSFT,sell,129.0,exit
2026-01-06,215.677152862406,QQQ,sell,69.0,exit
2026-01-08,146.46601182817795,SPY,buy,102.0,entry
2026-01-09,145.74054353220347,SPY,sell,102.0,exit
2026-01-13,224.09578744423453,QQQ,buy,66.0,entry
2026-01-14,219.5501615182726,QQQ,sell,66.0,exit
2026-01-14,148.19778652822362,SPY,buy,101.0,entry
2026-01-15,147.13588637507186,SPY,sell,101.0,exit
2026-01-15,224.48374400838847,QQQ,buy,66.0,entry
2026-01-20,222.13386012866908,QQQ,sell,66.0,exit
2026-01-22,229.93557300634706,QQQ,buy,65.0,entry
2026-01-23,229.881854715633,QQQ,sell,65.0,exit
2026-01-26,232.1984031309411,QQQ,buy,64.0,entry
2026-01-27,229.62780581913688,QQQ,sell,64.0,exit
2026-02-03,163.4732099630933,NVDA,buy,91.0,entry
2026-02-06,165.20727902915786,NVDA,sell,91.0,exit
2026-02-09,168.09965361257963,NVDA,buy,89.0,entry
2026-02-10,164.18391203285313,NVDA,sell,89.0,exit
2026-02-11,168.51103147125588,NVDA,buy,89.0,entry
2026-02-13,162.16230631309085,NVDA,sell,89.0,exit
2026-02-17,232.27082811714425,QQQ,buy,64.0,entry
2026-02-18,229.14680838480552,QQQ,sell,64.0,exit
2026-02-19,233.48480404238205,QQQ,buy,64.0,entry
2026-02-25,240.55509706581228,QQQ,sell,64.0,exit
2026-03-11,134.65062021544023,SPY,buy,111.0,entry
2026-03-13,134.9457860733584,SPY,sell,111.0,exit
2026-03-16,136.44157342528158,SPY,buy,109.0,entry
2026-03-17,135.03427135968312,SPY,sell,109.0,exit
2026-03-18,137.15310372125992,SPY,buy,109.0,entry
2026-03-20,141.3073980132611,SPY,sell,109.0,exit
2026-03-25,245.84354576263632,QQQ,buy,61.0,entry
2026-03-27,94.76039171549408,AAPL,buy,158.0,entry
2026-03-30,142.16160721058773,SPY,buy,105.0,entry
2026-03-31,251.62939716251603,QQQ,sell,61.0,exit
2026-04-01,95.38160782907198,AAPL,sell,158.0,exit
2026-04-01,259.0546074996695,QQQ,buy,57.0,entry
2026-04-02,255.64373740346582,QQQ,sell,57.0,exit
2026-04-06,97.76464252128685,AAPL,buy,153.0,entry
2026-04-06,103.7989673439332,MSFT,buy,144.0,entry
2026-04-07,97.57377443011612,AAPL,sell,153.0,exit
2026-04-08,153.0045601401289,SPY,sell,105.0,exit
2026-04-08,103.30494831211303,MSFT,sell,144.0,exit
2026-04-09,98.88403860330192,AAPL,buy,151.0,entry
2026-04-09,104.56850127598409,MSFT,buy,143.0,entry
2026-04-10,97.59861357761658,AAPL,sell,151.0,exit
2026-04-10,104.44634392531543,MSFT,sell,143.0,exit
2026-04-10,155.4838738955442,SPY,buy,96.0,entry
2026-04-14,104.91972907755401,MSFT,buy,142.0,entry
2026-04-15,103.19816824512344,MSFT,sell,142.0,exit
2026-04-16,156.89210752134855,SPY,sell,96.0,exit
2026-04-17,106.33597631965938,MSFT,buy,141.0,entry
2026-04-20,160.1988782803034,SPY,buy,93.0,entry
2026-04-21,106.51365807239053,MSFT,sell,141.0,exit
2026-04-22,157.7211766600012,SPY,sell,93.0,exit
2026-04-22,98.96004102311159,AAPL,buy,151.0,entry
2026-04-24,97.34305054012907,AAPL,sell,151.0,exit
2026-04-30,162.7839370459671,SPY,buy,92.0,entry
2026-05-01,162.67325231090157,SPY,sell,92.0,exit
2026-05-05,164.39904614956356,SPY,buy,91.0,entry
2026-05-06,163.2052992654524,SPY,sell,91.0,exit
2026-05-07,165.89988482213218,SPY,buy,90.0,entry
2026-05-08,108.11802489036052,MSFT,buy,138.0,entry
2026-05-11,106.03631623232351,MSFT,sell,138.0,exit
2026-05-13,167.86975966383068,SPY,sell,90.0,exit
2026-05-14,170.39638516264284,SPY,buy,88.0,entry
2026-05-15,168.3950320843841,SPY,sell,88.0,exit
2026-05-22,109.73893430222218,MSFT,buy,136.0,entry
2026-05-26,107.47636327698534,MSFT,sell,136.0,exit
2026-05-26,171.07702832174755,SPY,buy,87.0,entry
2026-05-27,171.01924590546665,SPY,sell,87.0,exit
2026-06-01,174.12596722947794,SPY,buy,86.0,entry
2026-06-02,169.9984504035517,SPY,sell,86.0,exit
2026-07-02,178.5880577464174,SPY,buy,83.0,entry
2026-07-03,107.4375833435998,MSFT,buy,139.0,entry
2026-07-06,106.8808887561822,MSFT,sell,139.0,exit
2026-07-06,242.44130334313212,QQQ,buy,61.0,entry
2026-07-07,110.05184128153208,MSFT,buy,136.0,entry
2026-07-08,184.4547986011035,SPY,sell,83.0,exit
2026-07-08,107.85831241705793,MSFT,sell,136.0,exit
2026-07-09,185.49765470981941,SPY,buy,80.0,entry
2026-07-10,183.4460586228956,SPY,sell,80.0,exit
2026-07-10,111.66389542980352,MSFT,buy,134.0,entry
